,datetime,rpl_price
126,2022-02-01 03:45:47,11040438847682701
127,2022-02-02 01:02:58,11067967478205905
128,2022-02-02 22:26:08,11100379173738829
129,2022-02-03 20:04:09,11174050711342303
130,2022-02-04 17:20:48,11307672835239136
131,2022-02-05 14:36:44,11285479061918557
132,2022-02-06 11:52:24,11337116830748805
133,2022-02-07 09:20:29,11382533872663017
134,2022-02-08 06:39:07,11389214129220195
135,2022-02-09 04:05:57,11395757136198991
136,2022-02-10 01:22:47,11301833184226438
137,2022-02-10 22:54:32,11304964822441480
138,2022-02-11 20:22:46,11305535723429826
139,2022-02-12 17:36:40,11337887254318089
140,2022-02-13 14:53:02,11373579828328332
141,2022-02-14 12:06:30,11248739618754623
142,2022-02-15 09:39:33,11276128898922354
143,2022-02-16 06:59:24,11099938251271035
144,2022-02-17 04:24:58,11072649067210184
145,2022-02-18 01:44:53,11018397837164562
146,2022-02-18 23:20:42,10980200944394271
147,2022-02-19 20:58:45,10943126948220707
148,2022-02-20 18:23:51,10858674548019232
149,2022-02-21 15:32:50,10107772922261010
150,2022-02-22 13:03:18,9809431824772105
151,2022-02-23 10:23:07,9976355636894143
152,2022-02-24 07:50:33,9732737090600636
153,2022-02-25 05:02:04,9322218992470239
154,2022-02-26 02:36:04,9765186341861949
155,2022-02-26 23:56:05,10407128551528049
156,2022-02-27 21:07:38,10370160766572567
157,2022-02-28 18:49:25,10451727895563509
158,2022-03-01 16:05:44,10170842985872497
159,2022-03-02 13:23:06,10170579091102467
160,2022-03-03 10:59:52,10101496483695640
161,2022-03-04 08:33:49,10211931131382855
162,2022-03-05 05:58:06,10166163792339870
163,2022-03-06 03:21:27,10434080076176820
164,2022-03-07 01:02:56,10311418293151514
165,2022-03-07 22:33:02,10017397195042246
166,2022-03-08 20:01:32,10187552493102524
167,2022-03-09 17:33:19,10348391249320758
168,2022-03-10 14:44:52,10284847063634146
169,2022-03-11 12:14:10,10381366169875295
170,2022-03-12 09:48:09,10692640999077903
171,2022-03-13 07:26:36,10804695376290616
172,2022-03-14 05:03:17,10846509667018720
173,2022-03-15 02:27:03,10843021560691439
174,2022-03-16 00:03:21,10864453358837986
175,2022-03-16 21:32:44,10976817161961524
176,2022-03-17 19:07:03,10520888330367197
177,2022-03-18 16:44:14,10786996523105715
178,2022-03-19 14:12:25,10785571689901345
179,2022-03-20 11:44:00,10875807073610262
180,2022-03-21 09:11:34,10949680688572515
181,2022-03-22 06:46:27,10974916680820793
182,2022-03-23 04:08:01,10964200629341781
183,2022-03-24 01:39:18,10993997677686331
184,2022-03-24 23:15:00,10994305714867321
185,2022-03-25 20:42:52,10987209050589342
186,2022-03-26 18:12:49,10977094809153596
187,2022-03-27 15:40:43,10972241291456559
188,2022-03-28 13:22:58,10998418653575295
189,2022-03-29 10:51:59,10972285861276952
190,2022-03-30 08:09:40,10966848713979179
191,2022-03-31 05:57:34,10949804797184575
192,2022-04-01 03:21:50,10852149063648923
193,2022-04-02 00:50:56,10888928345436603
194,2022-04-02 22:37:46,10888535728645146
195,2022-04-03 20:14:20,10839492607483140
196,2022-04-04 17:52:43,10807934512756854
197,2022-04-05 15:30:03,10797716466846597
198,2022-04-06 13:00:45,10791655455688394
199,2022-04-07 10:42:43,10793518597372569
200,2022-04-08 08:21:57,10790358358682460
201,2022-04-09 05:57:55,10793015777845431
202,2022-04-10 03:19:32,10809234063846093
203,2022-04-11 01:01:20,10823215799110151
204,2022-04-11 22:34:39,10306612058076723
205,2022-04-12 20:04:32,10786198251328700
206,2022-04-13 17:55:24,10834060667177312
207,2022-04-14 15:25:49,10795908408606552
208,2022-04-15 13:05:39,11078648578856351
209,2022-04-16 10:43:42,11066479601024351
210,2022-04-17 08:01:33,11038465567332164
211,2022-04-18 05:47:52,11026525974178939
212,2022-04-19 03:17:42,11013924791111994
213,2022-04-20 05:37:34,11031919544309896
214,2022-04-20 22:30:26,11050040376737156
215,2022-04-21 20:29:11,11002458531036123
216,2022-04-22 18:09:05,10993005444133266
217,2022-04-23 15:45:14,11012310266657012
218,2022-04-24 13:21:40,11031653297858447
219,2022-04-25 11:14:33,11017266366898994
220,2022-04-26 08:56:14,11035822345718237
221,2022-04-27 06:50:11,10948975732379343
222,2022-04-28 04:26:19,10990234454976296
223,2022-04-29 02:14:37,11001637309577612
224,2022-04-29 23:57:08,10973090576084416
225,2022-04-30 21:35:45,10958487950644070
226,2022-05-01 19:21:19,10990888452451317
227,2022-05-02 17:03:45,10975745190544218
228,2022-05-03 15:01:11,10989918759649386
229,2022-05-04 12:55:47,10988341465928870
230,2022-05-05 10:49:53,10933488530099352
231,2022-05-06 08:51:43,10905828852318642
232,2022-05-07 07:00:37,10987361398439694
233,2022-05-08 04:56:32,10961414420047731
234,2022-05-09 02:43:34,10971412677837226
235,2022-05-10 00:59:29,10882663814290693
236,2022-05-10 23:18:08,10873128308885223
237,2022-05-11 21:04:30,10804597596044029
238,2022-05-12 19:26:38,9422305746577300
239,2022-05-13 17:17:54,8998442397377407
240,2022-05-14 15:39:44,9476741290904373
241,2022-05-15 13:22:14,9866460880611730
242,2022-05-16 11:24:42,9839583020169094
243,2022-05-17 11:47:09,10056863230124267
244,2022-05-18 07:18:00,10184121821239667
245,2022-05-19 05:34:12,9848501943787023
246,2022-05-20 04:11:16,9860789816822538
247,2022-05-21 02:38:55,9943001520639620
248,2022-05-22 01:07:37,10024115877429626
249,2022-05-22 23:36:22,9923696134398055
250,2022-05-23 21:54:25,9814264554033491
251,2022-05-24 20:31:55,9761472442059100
252,2022-05-25 18:58:55,9930627897434614
253,2022-05-26 17:34:53,9712679704902201
254,2022-05-27 16:08:19,9211077393972584
255,2022-05-28 14:35:19,9100994685893568
256,2022-05-29 13:04:04,9388337440797523
257,2022-05-30 11:39:24,9104312469744027
258,2022-05-31 10:05:46,9362824352294865
259,2022-06-01 08:39:21,9418535087561536
260,2022-06-02 07:15:21,9418535254257802
261,2022-06-03 05:40:39,9674822580477619
262,2022-06-04 04:00:19,9190701706225272
263,2022-06-05 03:41:23,9271284745198343
264,2022-06-06 03:09:21,8680193891580932
265,2022-06-07 02:47:28,8880066699792267
266,2022-06-08 02:06:34,8692812499310245
267,2022-06-09 01:34:43,8987225520766056
268,2022-06-10 01:15:34,8829300294128588
269,2022-06-11 00:49:42,8544992248316009
270,2022-06-12 00:20:37,8324356578442925
271,2022-06-13 00:03:11,7862939833314430
272,2022-06-13 23:45:00,7926232535870105
273,2022-06-14 23:46:53,7625408188868077
274,2022-06-15 23:51:12,7983888453627079
275,2022-06-16 23:34:21,8279481393584860
276,2022-06-17 23:10:11,8190555528483410
277,2022-06-18 22:55:31,7988813430544622
278,2022-06-19 23:01:53,7948757783089906
279,2022-06-20 22:44:40,8346076701460320
280,2022-06-21 23:49:06,8614097612364656
281,2022-06-23 01:40:48,8731592820373554
282,2022-06-24 03:37:36,8621668906852823
283,2022-06-25 05:16:49,8999200802650392
284,2022-06-26 07:21:44,9369241576357364
285,2022-06-27 09:15:55,9365074824592148
286,2022-06-28 11:12:58,9157323334016039
287,2022-06-29 13:01:53,9195344363985474
288,2022-06-30 14:48:16,9374347324841866
289,2022-07-01 12:38:57,9870609857626047
290,2022-07-02 09:56:18,9994621217893596
291,2022-07-03 07:24:29,10177979768520955
292,2022-07-04 04:40:50,10124687460421380
293,2022-07-05 02:02:38,10011675472469703
294,2022-07-05 23:23:40,9836507614835503
295,2022-07-06 20:48:37,9833545288543957
296,2022-07-07 18:14:26,9700043017393646
297,2022-07-08 15:31:12,9716017385814158
298,2022-07-09 13:01:34,9721046500209904
299,2022-07-10 09:57:21,10082822120770174
300,2022-07-11 07:33:08,9947702418352037
301,2022-07-12 04:42:51,10096067136837848
302,2022-07-13 02:04:53,10154598964100421
303,2022-07-13 23:45:49,10439957198966726
304,2022-07-14 20:45:39,10345034477293696
305,2022-07-15 18:01:10,10453132440811439
306,2022-07-16 15:38:59,10543023578842061
307,2022-07-17 13:08:20,11210995996454371
308,2022-07-18 10:39:24,11631145844574975
309,2022-07-19 08:01:51,11586554942360519
310,2022-07-20 05:25:03,11605310305722722
311,2022-07-21 02:52:38,11574986200577329
312,2022-07-22 00:13:51,11574359527269515
313,2022-07-22 21:29:36,11558307395724547
314,2022-07-23 19:07:31,11518690027477409
315,2022-07-24 16:40:49,11562607903063684
316,2022-07-25 14:21:10,11708443004436402
317,2022-07-26 11:53:51,11775104613071820
318,2022-07-27 09:25:11,11874345701055340
319,2022-07-28 06:47:08,12051605079882398
