,staked_rpl_value_in_eth,provided_eth,matched_eth
2395,6.348630960750599,32.0,64.0
2396,6.234715178990798,16.0,48.0
2397,3.314041925496831,32.0,32.0
2398,12.493358583524738,32.0,96.0
2399,3.9418830305066566,24.0,40.0
2400,4.1564561484810065,16.0,48.0
2401,10.87073179462301,16.0,16.0
2402,2.0778397326967264,8.0,24.0
2403,5.905462100157182,16.0,48.0
2404,2.09451574602896,8.0,24.0
2405,3.6740372352006987,8.0,24.0
2406,7.39821205020665,24.0,72.0
2407,7.138222641284129,24.0,72.0
2408,46.154977025365255,80.0,240.0
2409,2.531668574295748,8.0,24.0
2410,3.790133586493103,8.0,24.0
2411,1.9268577182282225,16.0,16.0
2412,1.5305174014162288,16.0,16.0
2413,3.5476438010372147,8.0,24.0
2414,10.254150294866593,40.0,120.0
2415,3.785284763651012,16.0,48.0
2416,1.9239256784228949,16.0,16.0
2417,2.3317182383832633,8.0,24.0
2418,53.81782121335298,216.0,648.0
2419,7.264012548880469,24.0,72.0
2420,4.159416113846087,16.0,48.0
2421,2.143599435342895,16.0,16.0
2422,38.04725798265043,128.0,384.0
2423,3.096607516483476,8.0,24.0
2424,5.208690974152866,16.0,48.0
2425,6.959109259534884,24.0,72.0
2426,4.18518854535912,16.0,48.0
2427,1.5958203366694164,16.0,16.0
2428,13.137991570572005,16.0,48.0
2429,2.7134775450289403,8.0,24.0
2430,40.97961695040766,104.0,312.0
2431,2.5957830530817,8.0,24.0
2432,5.771777035268685,8.0,24.0
2433,30.879000294695665,128.0,384.0
2434,33.66869937240066,8.0,24.0
2435,1.665547226463,16.0,16.0
2436,1.9140872996811438,16.0,16.0
2437,3.9971970574843017,8.0,24.0
2438,2.458489135384446,8.0,24.0
2439,6.445102904395526,16.0,48.0
2440,2.212514530186329,8.0,24.0
2441,4.505010669237934,8.0,24.0
2442,10.622078448320018,24.0,72.0
2443,48.660697828943235,208.0,624.0
2444,6.807292180825269,32.0,64.0
2445,2.483682698325592,8.0,24.0
2446,12.229597786779353,24.0,72.0
2447,7.378069948479715,32.0,64.0
2448,44.25029060372658,40.0,120.0
2449,2.7004682527679713,8.0,24.0
2450,2.814071331441294,8.0,24.0
2451,5.870828700889167,16.0,48.0
2452,1.3505958262528721,16.0,16.0
2453,8.092872619555973,48.0,48.0
2454,0.0,0.0,0.0
2455,2.4049070980286187,8.0,24.0
2456,2.9311010746183044,16.0,16.0
2457,1.6821336252911478,16.0,16.0
2458,47.05989918273319,376.0,456.0
2459,249.81263549780283,864.0,2592.0
2460,7.238310546828998,40.0,88.0
2461,1.5968583130910028,16.0,16.0
2462,1.971344674618984,8.0,24.0
2463,7.192814116432308,16.0,48.0
2464,2.5514247600795623,8.0,24.0
2465,1.5383259230886346,16.0,16.0
2466,2.378128105605214,8.0,24.0
2467,2.401753657895661,8.0,24.0
2468,3.8478513568457897,8.0,24.0
2469,9.84683548776836,32.0,96.0
2470,2.2894715573232447,8.0,24.0
2471,2.0586004759124976,8.0,24.0
2472,12.476799418306884,40.0,120.0
2473,32.39078218524825,48.0,144.0
2474,0.0,0.0,0.0
2475,0.0,0.0,0.0
2476,4.864261292756605,16.0,48.0
2477,4.806910364656832,16.0,48.0
2478,1.5776190563067738,16.0,16.0
2479,3.8863298704142473,16.0,48.0
2480,5.992957110644648,24.0,72.0
2481,11.592462216030862,112.0,112.0
2482,3.212051715831421,8.0,24.0
2483,0.0,0.0,0.0
2484,4.116396364280066,16.0,48.0
2485,2.0866311505659305,8.0,24.0
2486,1.2835704579305636,16.0,16.0
2487,3.9833688337825417,8.0,24.0
2488,32.68834187977781,104.0,312.0
2489,2.326809968075555,8.0,24.0
2490,0.0,0.0,0.0
2491,3.906986904824392,16.0,48.0
2492,11.80908844201531,40.0,120.0
2493,8.462276009607821,32.0,96.0
2494,1.3659872316802555,16.0,16.0
2495,9.40569274578365,112.0,112.0
2496,9.042450688587605,16.0,16.0
2497,2.613816729802534,8.0,24.0
2498,1.8591995767448974,16.0,16.0
2499,2.4626780726220163,8.0,24.0
2500,13.467479748960264,32.0,96.0
2501,9.647688370264104,32.0,96.0
2502,9.979011359889132,32.0,96.0
2503,2.8241652750097184,8.0,24.0
2504,2.2519678917943233,8.0,24.0
2505,86.57665552903028,80.0,240.0
2506,6.255740378298869,64.0,64.0
2507,16.291647637835716,48.0,144.0
2508,21.914021705873253,56.0,168.0
2509,9.619628392114475,8.0,24.0
2510,0.0,0.0,0.0
2511,18.625789865230495,40.0,120.0
2512,2.462252319104197,8.0,24.0
2513,0.0,0.0,0.0
2514,2.6141224720030376,8.0,24.0
2515,5.781918979740015,16.0,48.0
2516,2.723039752509915,16.0,16.0
2517,1.5933357109744533,16.0,16.0
2518,3.8580079287193128,16.0,48.0
2519,36.440136055799684,128.0,256.0
2520,2.3323296237360296,8.0,24.0
2521,1.8002275189632064,8.0,24.0
2522,2.7295636652371624,32.0,32.0
