,address,withdrawal_address,staked_rpl_value_in_eth,provided_eth,matched_eth,liquid_rpl_node_value_in_eth,liquid_rpl_withdrawal_value_in_eth
1310,0xB7860d9a77ABACF7000406032a899E048AB2E2e9,0x3a31a220268362B3f498D8d59e4a24c66C890412,103.19856782155999,240.0,720.0,0.0,0.0
1311,0xEcE13bc2d3e61194b2559D7e72999008199A733b,0xEcE13bc2d3e61194b2559D7e72999008199A733b,6.919815793943922,16.0,16.0,0.05338833640143335,0.05338833640143335
1312,0x2aa70926CF62dc9625B84fB44D5C690e1c2Be1e5,0xF323BcDd5CF7208eC07C6882430Ad99F07cBe8F5,6.504192237987833,24.0,72.0,0.0,0.0
1313,0xFA82DeD8C8e6723EBf660e2c49e5Ac6069f0Ef94,0xFA82DeD8C8e6723EBf660e2c49e5Ac6069f0Ef94,5.011417799883238,16.0,16.0,0.0,0.0
1314,0x5522d9d6aaC0fa5fE287051E125d1f6Bcf60b07D,0xB6Cd3967aA09B52C483d10C7CA9B093B86335FE9,23.373325091005874,24.0,72.0,0.0,0.0
1315,0xe92D73fde8B60d9EEF7B7A96EEA8B2929b9B02F4,0xe92D73fde8B60d9EEF7B7A96EEA8B2929b9B02F4,0.0,0.0,0.0,0.0,0.0
1316,0x0B37992865e92837ABc13B7a8618D09712d1922E,0x44f9047EC33DD3682Df5E9178C492272A5F7AFD0,0.0,0.0,0.0,1.2652953923526555,7.7385922990863225
1317,0x39579Faf871bA5Ddd5da72b0D84970Bf4c3B1850,0x39579Faf871bA5Ddd5da72b0D84970Bf4c3B1850,2.7517213834922276,16.0,16.0,0.9113035682815436,0.9113035682815436
1318,0xa1D5180640c80B740a5a2189DFdEb3d42A6A1732,0x99cF5Bc4d99A6bA67E1A4e6cdcBD432fEf464518,0.0,0.0,0.0,0.0,0.0
1319,0x91dbe200b4c203c846f4b1204B6528020580FF9C,0x91dbe200b4c203c846f4b1204B6528020580FF9C,5.019326343492347,0.0,0.0,0.0019109399176826347,0.0019109399176826347
